Topic,Count,Name,Representation,Representative_Docs
1679,12,1679_srilanka_sri lanka_lanka_lanka abstained,"['srilanka', 'sri lanka', 'lanka', 'lanka abstained', 'lka', 'sri', 'srilanka lka', 'voting resolution', 'abstained voting', 'lka russia']","['Sri Lanka abstained from voting on a resolution at the United Nations against Russia, which was passed with 143 votes. Read the full story here via #Srilanka #lka #Russia #Ukraine #UN #UNGA', 'Sri Lanka abstained from voting on a resolution at the UN General Assembly that calls for Russia to pay war reparations to Ukraine. Read the full story here via #Srilanka #lka #Ukraine #UN #Russia', 'Sri Lanka abstained from voting on a resolution at the UN General Assembly that calls for Russia to pay war reparations to Ukraine. via #Srilanka #lka #Ukraine #UN #Russia']"
1680,12,1680_prophecy_nato unitedstates_biblical_jesuschrist,"['prophecy', 'nato unitedstates', 'biblical', 'jesuschrist', 'newyorkcity', 'losangeles', 'newyorkcity nyc', 'babylon', 'elites unitednations', 'elites']","['PRT3. Then a giant mouth of a beast broke through the roof and ate the woman. The man got up and ran to the front door. #Prophecy #Biblical #God #JesusChrist #NATO #UnitedStates #Hollywood #LosAngeles #NewYorkCity #NYC #UN #Elites #UnitedNations #Babylon', 'PRT9. REVELATION 15-18 ""Then he said to me, ""The waters which you saw, where the harlot sits, are peoples, multitudes, nations, and tongues. #Prophecy #Biblical #God #JesusChrist #NATO #UnitedStates #Hollywood #LosAngeles #NewYorkCity #NYC #UN #Elites #UnitedNations #Babylon', 'PRT2. I saw a woman in lingerie and a man beginning to get intimate on a fancy bed. #Prophecy #Biblical #God #JesusChrist #NATO #UnitedStates #Hollywood #LosAngeles #NewYorkCity #NYC #UN #Elites #UnitedNations #Babylon']"
1681,12,1681_nato weapons_modern heavy_armukrainenow ukrainians_range,"['nato weapons', 'modern heavy', 'armukrainenow ukrainians', 'range', 'long range', 'ukrainians madrid', 'forces counterattack', 'modern nato', 'accelerate', 'weapons partners']","['Ukrainians call NATO members to accelerate the supply of the critical amount of middle-range and long-range modern heavy NATO weapons to Ukraine #ArmUkraineNow', 'Ukrainians in Madrid call NATO members to accelerate the supply of the critical amount of middle-range and long-range modern heavy NATO weapons to Ukraine #ArmUkraineNow .', 'Ukrainians in Madrid call NATO members to accelerate the supply of the critical amount of middle-range and long-range modern heavy NATO weapons to Ukraine #ArmUkraineNow']"
1682,12,1682_ukro nazis_ukro_truth justice_justice russia,"['ukro nazis', 'ukro', 'truth justice', 'justice russia', 'putin ukro', 'nazis shelling', 'nazis', 'russia putin', 'hoods', 'living hoods']","[""one thing is to not notice that the Ukro-Nazis are shelling our positions with phosphor ammunitions, other thing is to close your eyes when they're using them against the women, children and old people in the living hoods of Donetsk!!! #Truth #Justice #Russia #Putin"", ""The Ukro-Nazis are now shelling ONLY living hoods, they don't care about the people and their lives!!! #Truth #Justice #Russia #Putin"", 'THAT\'S WHO THE UKRO-NAZIS ARE SHELLING!!! YOU\'RE PART OF THIS!!! photos from street ""Shchebekino"" Donetsk yesterday #Truth #Justice #Russia #Putin']"
1683,12,1683_russia expelled_expelled security_expelled_expelled organization,"['russia expelled', 'expelled security', 'expelled', 'expelled organization', 'needs expelled', 'jurist news', 'council terrorism', 'frankly disgusting', 'lies outrageous', 'ukrainewillresist ukrainerussianwar']","['It is offensive to see #Putin diplomats participate in international forums including the UN General Assembly, and even more offensive to hear them tell more lies trying to justify the unjust and criminal invasion of #Ukraine. No more, they should be expelled. #UN #NATO #Kyiv', '▪ ""RUSSIA SHOULD BE EXPELLED FROM UN"" Ukrainian President says Russia should be expelled from UN Security Council #Ukraine #Russia #terrorist Arirang News ▶ News Center ▶', ""#Russia must be expelled from the Security Council of the UN. Unable to win its war of aggression, it is regularly and deliberately attacking civilian targets in #Ukraine️. It's frankly disgusting that they're still afforded the right to discuss issues of international security.""]"
1684,12,1684_unable walk_amp medication_suffering help_help tigraycantwait,"['unable walk', 'amp medication', 'suffering help', 'help tigraycantwait', 'medication suffering', 'hungry dying', 'dying hunger', 'people starving', 'hunger amp', 'starving death']","['Tigray people are starving to death. They are unable to walk bc they are so hungry. They are dying of hunger &amp; there is no medication. Everyone is suffering. HELP US! #TigrayCantWait #TigraySiege', 'Tigray people are starving to death. They are unable to walk bc they are so hungry.They are dying of hunger &amp; there is no medication.Everyone is suffering. HELP US! #TigrayCantWait', '👉Tigray people are starving to death.They are unable to walk bc they are so hungry.They are dying of hunger &amp; there is no medication.Everyone is suffering. HELP US! #TigrayCantWait']"
1685,12,1685_ing wen_tsai ing_tsai_wen,"['ing wen', 'tsai ing', 'tsai', 'wen', 'progressive party', 'democratic progressive', 'taiwan independence', 'independence democratic', 'progressive', 'ing']","['6)Do you know who they are? The answer is Tsai Ing-wen( ) of the Taiwan Independence and Democratic Progressive Party. #中国 #China #Russia #Ukraine #NEWS #新闻 #World #UN #G20 #APEC #Asia #Europe #Africa #SouthAfrica #MiddleEast #ASEAN #International', '4)Especially the lying network army of Tsai Ing-wen( ), the Taiwan independence Democratic Progressive Party in Taiwan Province Province. #中国 #China #台湾省 #Taiwan #Russia #新闻 #UN #NEWS #World #Ukraine #Asia #Africa #MiddleEast #USA #UnitedStates #International', '6)The United States and NATO can also announce their support for ""the last person in the Tsai Ing-wen government of the Taiwan Independence Democratic Progressive Party"" tomorrow #中国 #China #台湾省 #Taiwan #Russia #Ukraine #NEWS #World #UN #新闻 #Asia #Europe #Africa #ASEAN']"
1686,12,1686_babies breathing_electricity babies_lack electricity_breathing,"['babies breathing', 'electricity babies', 'lack electricity', 'breathing', 'patients dying', 'said patients', 'dying lack', 'asking help', 'tigray said', 'lack']","['In #Tigray They said: patients are dying because of a lack of medicine , a lack of electricity and they cannot keep the babies breathing. So they were asking for help but we told them we cannot do anything.#ReconnectTigray #EndTigraySiege .', 'In #Tigray They said: patients are dying because of a lack of medicine , a lack of electricity and they cannot keep the babies breathing. So they were asking for help but we told them we cannot do anything.🔴#ReconnectTigray #EndTigraySiege .', 'In #Tigray “They said: patients are dying because of a lack of medicine , a lack of electricity and they cannot keep the babies breathing. So they were asking for help but we told them we cannot do anything.” #ReconnectTigray #EndTigraySiege']"
1687,12,1687_assistance wfp_receive emergency_having survived_survived bombing,"['assistance wfp', 'receive emergency', 'having survived', 'survived bombing', 'emergency food', 'bombing home', 'home kharkiv', 'ukrainians receive', 'reception center', 'food assistance']","['#RT : RT : Having survived the bombing of their home in Kharkiv, the Arseniev family tell their story from #Ukraine. They are now some of the 3.6 million Ukrainians who receive emergency food assistance from WFP.', 'Having survived the bombing of their home in Kharkiv, the Arseniev family tell their story from #Ukraine. They are now some of the 3.6 million Ukrainians who receive emergency food assistance from WFP.', 'UN: RT : Having survived the bombing of their home in Kharkiv, the Arseniev family tell their story from #Ukraine. They are now some of the 3.6 million Ukrainians who receive emergency food assistance from WFP.']"
1688,12,1688_lugansk amp_amp donetsk_lugansk_requested russian,"['lugansk amp', 'amp donetsk', 'lugansk', 'requested russian', 'article 51', 'intervened ukraine', 'russia intervened', '51', 'republics lugansk', 'collective self']","[""1. It is a myth that #Russia intervened in Ukraine w/o provocation. The leaders of the People's Republics of #Lugansk &amp; #Donetsk requested #Russian military intervention per Article 51 provision (UN Charter) collective self-defense rights."", ""1/3) It is a myth that #Russia intervened in #Ukraine w/o provocation. The leaders of the People's Republics of #Lugansk &amp; #Donetsk requested #Russian military intervention per Article 51 provision (UN Charter) collective self-defense rights."", ""1) It is a myth that #Russia intervened in #Ukraine w/o provocation. The leaders of the People's Republics of #Lugansk &amp; #Donetsk requested #Russian military intervention per Article 51 provision (UN Charter) collective self-defense rights.""]"
1689,12,1689_ranging discussions_discussions issues_india russia_wide ranging,"['ranging discussions', 'discussions issues', 'india russia', 'wide ranging', 'cooperation counter', 'agreed deepen', 'ranging', 'counter terrorism', 'deepen cooperation', 'related issues']","['India and Russia held wide-ranging discussions on issues on the United Nations Security Council agenda and recent developments. #India #Russia #UNSecurityCouncil #UNSC #TheFirstIndia', '#India and #Russia hold consultations in Moscow on United Nations related issues. Both sides hold wide ranging discussions on issues on the #UN Security Council agenda and recent developments.', 'India &amp; Russia have held wide ranging discussions on issues on the UN Security Council agenda and agreed to deepen cooperation on counter terrorism at the UN as well as other multilateral platforms. #India #Russia #UNSecurityCouncil']"
1690,12,1690_worst genocidal_session world_dear demand_war tigrayans,"['worst genocidal', 'session world', 'dear demand', 'war tigrayans', 'reliable justice', 'justice4tigray justice', 'world worst', 'demand justice4tigray', 'justice dear', 'justice tigraygenocide']","[""Dear:⤵ what is the importance of this session if the #world's worst genocidal war against Tigrayans couldn't get reliable Justice?? Dear: , We Still demand #Justice4Tigray and justice for #TigrayGenocide."", ""🗣Dear what is the importance of this session if the world's worst genocidal war against Tigrayans couldn't get reliable Justice? Dear: , We Still demand #Justice4Tigray and justice for #TigrayGenocide."", ""Dear what is the importance of this session if the world's worst genocidal war against Tigrayans couldn't get reliable Justice? Dear We Still demand #Justice4Tigray and justice for #TigrayGenocide""]"
1691,12,1691_extractionformariupol_helpmariupol savemariupol_savemariupol extractionformariupol_mariupol azovstalplant,"['extractionformariupol', 'helpmariupol savemariupol', 'savemariupol extractionformariupol', 'mariupol azovstalplant', 'azovstalplant immediately', 'azovstalplant', 'helpmariupol', 'extractionformariupol mariupolgenocide', 'mariupolgenocide', 'open urgent']","['We call to open urgent humanitarian corridor for wounded and civilians trapped in Mariupol and Azovstalplant IMMEDIATELY #HelpMariupol #SaveMariupol #ExtractionForMariupol #mariupolgenocide', '""We call to open urgent humanitarian corridor for wounded and civilians trapped in Mariupol and Azovstalplant IMMEDIATELY "" #HelpMariupol #SaveMariupol #ExtractionForMariupol #mariupolgenocide', 'We call to open urgent humanitarian corridor for wounded and civilians trapped in Mariupol and Azovstalplant immediately #HelpMariupol #SaveMariupol #ExtractionForMariupol #mariupolgenocide']"
1692,12,1692_stoprussia close_ukraine exclude_council stopputin_exclude russia,"['stoprussia close', 'ukraine exclude', 'council stopputin', 'exclude russia', 'built wall', 'perfect amp', 'hospitals course', 'exclude', 'stopputin stoprussia', 'russia security']","['Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia‼️‼️‼️', 'Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia ‼️❗️❗️', 'Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia ❗‼️']"
1693,12,1693_war popular_popular support_citizens declare_nexta ukrainewar,"['war popular', 'popular support', 'citizens declare', 'nexta ukrainewar', 'nexta', 'accept demilitarisation', 'contribute stopwarinukraine', 'protectorate diplomats', 'leaders good', 'bn citizens']","[""We,7,3 bn UN's Citizens, must declare : no War without Popular Support #nexta #ukrainewar #ukraine #russia #PA #tass #AP #KCNA #asahi #Xinhua #NHK #JPost #Amaq #anadolu #afp #dpa #efe #reuters #USNews #RANA #MENA #PTI #antara #RT_com #NHK #PBS #NewsHour #ukrinform #kyevpost"", ""We,7,3 bn UN's Citizens, must declare : no War without Popular Support #nexta #ukrainewar #ukraine #ukrinform #QUT #MIT #UAM #NUS #TMU #UNT #ASU #Yale #UCLA #UTAS_ #Penn #NTNU #unil #UNSW #BSMU #rgpu #usal #UofT #UQAM #KazNU #ITUkbh #ISM_LT #UniversitiesUK #uni_scot #msu_ru"", ""We, 7,3 bn UN's Citizens must declare: no War without Popular Support #nexta #ukrainewar #ukraine #ukrinform #kyevpost #UNSG #UNSC #UNGA ##UNHCR #WFP #OPCW #OPCW #UNHRD #UNHRC #MIT #UAM #NUS #PKU #TMU #UNT #ASU #Yale #UCLA #UTAS_ #Penn #NTNU #unil #rgpu #uni_scot #msu_ru #oxford""]"
1694,12,1694_slavery reported_physical abuse_amharaoutoftigray seek_forces used,"['slavery reported', 'physical abuse', 'amharaoutoftigray seek', 'forces used', 'verbal', 'accompanied', 'justice4tigray security', 'security forces', 'abduction', 'sexual slavery']","['""Security forces also used gang rape, accompanied by verbal and physical abuse, abduction, and sexual slavery."" reported. So dear ⚠️Force #AmharaOutOfTigray ⚠️Seek #Justice4Tigray B', '♦️ ""Security forces also used gang rape, accompanied by verbal and physical abuse, abduction, and sexual slavery."" reported. So dear ⚠️Force #AmharaOutOfTigray ⚠️Seek #Justice4Tigray', '""Security forces also used gang rape,accompanied by verbal and physical abuse, abduction,and sexual slavery."" reported. So dear ⚠️Force #AmharaOutOfTigray ⚠️Seek #Justice4Tigray']"
1695,12,1695_ashamed russian_putin warmongering_nations putin_warmongering,"['ashamed russian', 'putin warmongering', 'nations putin', 'warmongering', 'russian diplomat', 'leaves', 'ashamed', 'diplomat', 'news ashamed', 'russia ashamed']","['‘Ashamed’ Top Russian Diplomat Leaves United Nations Over Putin’s ‘Warmongering’ #news', '‘Ashamed’ Top #russian Diplomat Leaves United Nations Over #putin’s ‘Warmongering’', '‘Ashamed’ Top #Russian Diplomat Leaves United Nations Over #Putin ‘Warmongering’ via']"
1696,12,1696_people cut_telecommunications banks_necessities food_electricity telecommunications,"['people cut', 'telecommunications banks', 'necessities food', 'electricity telecommunications', 'basic necessities', 'medicine fuel', 'necessities', 'fuel electricity', 'water medicine', 'telecommunications']","['For &gt;560+days, millions of people have been cut off from basic necessities (food, water, medicine, fuel, electricity, telecommunications, banks, etc) #AllowAccessToTigray Dear ACTION has to be don. The people of #Tigray are STILL starving to death. #EndTigraySiege', 'For &gt;560+ days, millions of people have been cut off from basic necessities (food, water, medicine, fuel, electricity, telecommunications, banks, etc) #AllowAccessToTigray Dear ACTION has to be don. The people of #Tigray are STILL starving to death. #EndTigraySiege', 'For &gt;556days, millions of people have been cut off from basic necessities (food, water, medicine, fuel, electricity, telecommunications, banks, etc) #AllowAccessToTigray Dear ACTION has to be don. The people of #Tigray are STILL starving to death. #EndTigraySiege']"
1697,12,1697_gt paid_paid 2023_realestate_dividend,"['gt paid', 'paid 2023', 'realestate', 'dividend', 'unit', 'lt', '2023 jan', 'stock', 'bep', 'close business']","['#RealEstate TSX(#Canada🇨🇦):NWH.UN &lt;—- $NWH.UN #NWH.UN $NWHUF #NorthwestHealthcareProperties REIT Declared a #UnitTrust #CashDistribution 0.06667 $🇨🇦/Unit, for 2022.mar. —-&gt; PAID 2023.apr.14 TO Unit holders of record as at ✳️ 2023.mar.31 ✳️', '#ApartmentsRealEstate TSX(#Canada🇨🇦):MI.UN &lt;—- $MI.UN #MintoApartmentsREIT #Dividend Stock 2022.dec.15 monthly #CashDistribution 0.04083 &lt;- $🇨🇦/ #REITUnit —-&gt; PAID 2023.jan.16 TO #Unitholders of record at close of business 2022.dec.31', '#RealEstate TSX(#Canada🇨🇦):AP.UN &lt;—- $AP.UN #AlliedPropertiesREIT 2022.dec.1 declared #Distribution 0.1458 $🇨🇦/ #Unit for month 2022.dec. —-&gt; PAID 2023.jan.16 TO Unit holders of Record at close of business 2022.dec.30']"
1698,12,1698_new nazis_yes thought_disgrace new_destruction rape,"['new nazis', 'yes thought', 'disgrace new', 'destruction rape', 'ukraine dysfunctional', 'ukraine cdnpolitics', 'causing damage', 'germanyfundsgenocide', 'fear favour', 'body makes']","['Russia is liberating Ukraine by ""denazification"". Hiring mercenaries Wagner Group to assassinate . He is Jewish. #Putin is anti-Semitic. #Putin is Hitler\'s child. Please stop pretending history isn\'t being repeated #hindsight', ""Smart people say stupid things for fear or favour. This isn't Chess. Nazi Germany tried, was massacred in snow by Russia, as was France of Napoleon. West, proxies have destroyed the with cancel culture on #Ukraine. A dysfunctional body that makes tepid #Climate change noises."", '""Ukrainian nazis"" is the term #Russia|n propagandists use to justify #Putin\'s ongoing quagmire in #Ukraine️. Truth is Putin\'s war is a land grab, pure and simple. Putin wanted to secure his energy monopoly in #Europe.']"
1699,12,1699_rationing_canada food_ps 104_time creation,"['rationing', 'canada food', 'ps 104', 'time creation', '15 potus', '19 22', 'preaches', '22 potus', '104', 'california mexico']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada (1/8) It\'s food rationing time! ""THE CREATION OF THE SEAS AND ALL THAT IS IN THEM"" Ps. 104:25-29', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada (7/8) It\'s food rationing time! ""ERRONEOUS DOCTRINE"" 1 Tim. 4:1-5', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada (3/8) It\'s food rationing time! ""PAUL PREACHES AT DAMASCUS"" Acts 9:19-22']"
1700,12,1700_reserves amp_guarded_displaced tigraygenocide_monastery,"['reserves amp', 'guarded', 'displaced tigraygenocide', 'monastery', 'killed displaced', 'monks', 'spared', 'exploited', 'sacred', 'forest']","['📣 Not even sacred land was spared. Forest reserves in &amp; around Waldiba monastery were exploited after the monks who guarded them were killed or displaced. #TigrayGenocide #Justice4Tigray', 'Not even sacred land was spared. Forest reserves in &amp; around Waldiba monastery were exploited after the monks who guarded them were killed or displaced. #TigrayGenocide #Justice4Tigray', '💮Not even sacred land was spared. Forest reserves in &amp; around Waldiba monastery were exploited after the monks who guarded them were killed or displaced. #TigrayGenocide #Justice4Tigray']"
1701,12,1701_charts demand_tigray charts_executions amp_rape tigray,"['charts demand', 'tigray charts', 'executions amp', 'rape tigray', 'charts', 'mass rape', 'amp mass', 'tigraygenocide dear', 'dear address', 'summary executions']","['🚨 ""...Summary executions&amp; mass rape in Tigray are off the charts..."" By We demand Justice for #TigrayGenocide Dear address #Justice4Tigray', '📌 ""...Summary executions&amp; mass rape in Tigray are off the charts..."" By We demand Justice for #TigrayGenocide Dear address #Justice4Tigray', '💮""...Summary executions&amp; mass rape in Tigray are off the charts..."" By We demand Justice for #TigrayGenocide Dear address #Justice4Tigray']"
1702,12,1702_threat ethiopia_region says_earth health_health millions,"['threat ethiopia', 'region says', 'earth health', 'health millions', 'people greater', 'region caused', 'people threat', 'according chief', 'siege region', 'caused world']","['According to chief , ""nowhere on Earth"" do we see people at greater risk than those located in #Tigray. #Ethiopia\'s continued siege of the region has caused one of the world\'s worst humanitarian crises. #SupportHR6600', 'According to chief , ""nowhere on Earth"" do we see people at greater risk than those located in #Tigray. #Ethiopia\'s continued siege of the region has caused one of the world\'s worst humanitarian crises. #AllowAccessToTigray', 'According to chief , “nowhere on Earth” do we see people at greater risk than those located in #Tigray. #Ethiopia’s continued siege of the region has caused one of the world’s worst humanitarian crises. #AllowAccessToTigray']"
1703,12,1703_regreening africa_stops showing_start focus_regreening,"['regreening africa', 'stops showing', 'start focus', 'regreening', 'africa feed', 'clean drinking', 'dick', 'drinking water', 'water amp', 'drinking']","['Well when #Putin &amp; #Russia stops showing its Dick to everyone then we can start to focus to make clean drinking water &amp; food a human right across the globe starting with the regreening of #Africa so they can feed themselves and to bring the rain back. #UN #NATO #EU #Ukraine️', 'Well when #Russia stops showing its Dick to everyone then we can start to focus to make clean drinking water &amp; food a human right across the globe starting with the regreening of #Africa so they can feed themselves and to bring the rain back.#UN #NATO #EU #Ukraine️ #China #India', 'Well when #Russia stops showing its Dick to everyone then we can start to focus to make clean drinking water &amp; food a human right across the globe starting with the regreening of #Africa so they can feed themselves and to bring the rain back #UN #NATO #EU #Ukraine️ #China #India']"
1704,12,1704_absolute siege_supplies allowed_tigrayanweaponizedrapevictims_100 000s,"['absolute siege', 'supplies allowed', 'tigrayanweaponizedrapevictims', '100 000s', 'languishing', 'pressure ethiopia', 'allowed tigray', '000s', 'armenia refused', '853']","['The has the duty to pressure Ethiopia to let medical supplies be allowed to #Tigray in full scale. 100,000s #TigrayanWeaponizedRapeVictims have been languishing in agony under an absolute siege. #Justice4TigraysWomenAndGirls it Is outrageous', 'The has the duty to pressure Ethiopia to let medical supplies be allowed to #Tigray in full scale. 100,000s #TigrayanWeaponizedRapeVictims have been languishing in agony under an absolute siege #Justice4TigraysWomenAndGirls', 'The has the duty to pressure Ethiopia to let medical supplies be allowed to #Tigray in full scale. 100,000s #TigrayanWeaponizedRapeVictims have been languishing in agony under an absolute siege. #Justice4TigraysWomenAndGirls']"
1705,12,1705_reich_1st 2nd_3rd reichs_4th reich,"['reich', '1st 2nd', '3rd reichs', '4th reich', 'reichs', '4th', '3rd', '2nd 3rd', '3rd reich', '2nd']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert In order for Nazi Germany to be the 3rd Reich, there had to be a 1st and 2nd Reich prior to it. Who were they?', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert Who was the ""FAILED"" 1st, 2nd &amp; 3rd Reichs and now ""FAILING 4th Reich""?', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert Tell me... Have you taken the time to check ""WHO"" the 1st, 2nd and 3rd Reichs were? How about the 4th Reich?']"
1706,12,1706_region remains_remains siege_children intentionally_internet amp,"['region remains', 'remains siege', 'children intentionally', 'internet amp', 'starved tigray', 'intentionally starved', 'amp electricity', 'action late', 'restored', 'intentionally']","[""Millions Children are intentionally being starved in #Tigray while the region remains under siege. it's critical that you take action before it's too late.All telecom, internet &amp; electricity must be restored. #AllowAccessToTigray"", ""Children are intentionally being starved in Tigray while the region remains under siege. - it's critical that you take action before it's too late. All telecommunications, internet &amp; electricity must be restored. #TigrayCantWait"", ""Children are intentionally being starved in #Tigray while the region remains under siege. - it's critical that you take action before it's too late. All telecommunications, internet &amp; electricity must be restored. #TigrayCantWait""]"
1707,12,1707_myrotvorets_faina_13 year_faina savenkova,"['myrotvorets', 'faina', '13 year', 'faina savenkova', 'lugansk republic', 'savenkova', 'kill list', 'myrotvorets kill', 'nations end', 'list ukrainian']","['Do you treat the 13 year old in your house like this? Faina Savenkova, 13-year-old resident of the #Lugansk Republic who was placed on the #Myrotvorets “kill list” of the #Ukrainian government after she called on the United Nations to end to the war she has experienced since 2014', 'Faina Savenkova, 13-year-old resident of the #Lugansk Republic who was placed on the #Myrotvorets “kill list” of the #Ukrainian government after she called on the United Nations to end to the war she has experienced since 2014.', 'Faina Savenkova, 13-year-old resident of the #Lugansk Republic who was placed on the #Myrotvorets “kill list” of the #Ukrainian government after she called on the United Nations to end to the war she experienced since 2014.']"
1708,12,1708_asking right_communication icrc_completely missing_icrc worse,"['asking right', 'communication icrc', 'completely missing', 'icrc worse', 'holding positions', 'general especially', 'hard worker', 'man used', 'members idea', 'idea isn']","['Danish government rage against #russia censorship meanwhile charging the former defense minister and jailing former head of military security, without a shred of proof. #dkpol #ukraine #russiaukraine #USA #EU #UN #Corruption', 'Pitfalls of culture of pretending to work and pretending to pay. A public servant once told a visiting UN agency director that at the office where they work, “they pretend to work since government pretends to pay them. #business #Employment #salaries', ""The current Secretary General of the UN is completely missing in action. I am surprised he does not walk around with a the badge of the U.S. on his suite. He has taken #NATO's stance on everything. We need a new Kofi Annan to take the lead and start asking the right questions.""]"
1709,12,1709_peacemakers_truth justice_justice russia_ones support,"['peacemakers', 'truth justice', 'justice russia', 'ones support', 'russia putin', 'ones', 'truth', 'justice', 'ask freedom', 'attacking schools']","['""PEACEMAKERS"" YOU\'RE SENDING THEM WEAPONS NON STOP AND NOW THE ONES YOU SUPPORT ARE MASKING THEM AS TOYS AND FOOD! WITH YOUR ACTIONS YOU\'RE KILLING CHILDREN ""PEACEMAKERS""!! WHO ARE YOU?? #Truth #Justice #Russia #Putin', 'AND HERE THERE ARE THE PLANS, THAT THE ""PEACEMAKERS"" HAVE FOR THE ONES WHO THEY SUPPOSEDLY SUPPORTED AND PROTECTED! #Truth #Justice #Russia #Putin', 'ONE MORE PROOF WHO ARE THE ""PEACEMAKERS"" SUPPORTING!!!! #Truth #Justice #Russia #Putin']"
1710,12,1710_years human_aggression tigray_community stands_eritreaoutoftigray international,"['years human', 'aggression tigray', 'community stands', 'eritreaoutoftigray international', 'violations amp', 'tigray years', 'stands ukraine', 'justice4tigray eritreaoutoftigray', 'amp tigraygenocide', 'tigraygenocide justice4tigray']","['While the international community stands with #Ukraine 🇺🇦 against the Russian aggression , why not with #Tigray against the over 2 years human rights violations &amp; #TigrayGenocide ?? #Justice4Tigray #EritreaOutOfTigray', 'While the international community stands with #Ukraine 🇺🇦against the Russian aggression ,why not with #Tigray against the over 2 years human rights violations &amp; #TigrayGenocide ?? #Justice4Tigray #EritreaOutOfTigray', 'While the international community stands with #Ukraine 🇺🇦against the Russian aggression,why not with #Tigray against the over 2 years human rights violations &amp; #TigrayGenocide ?? #Justice4Tigray #EritreaOutOfTigray']"
1711,12,1711_sievierodonetsk_uk war_belarus nato_war diplomacy,"['sievierodonetsk', 'uk war', 'belarus nato', 'war diplomacy', 'families children', 'severodonetsk ukraine', 'children murder', 'diplomacy politics', 'russia belarus', 'humanity families']","['Ukraine says troops holding out in Sievierodonetsk after last bridge destroyed via #Ukraine #Russia #Belarus #NATO #EU #UK #US #UN #war #diplomacy #Politics #refugees #humanity #families #children #murder #CrimesAgainstHumanity #WarCrimes', 'Ukraine pushed back to outskirts of Sievierodonetsk, governor says via #Ukraine #Russia #Belarus #NATO #EU #UK #US #UN #war #diplomacy #Politics #sanctions #refugees #humanity #families #children #murder #CrimesAgainstHumanity #WarCrimes', 'Russian artillery bombards Sievierodonetsk via #Ukraine #Russia #Belarus #NATO #EU #UK #US #UN #war #diplomacy #Politics #sanctions #refugees #humanity #families #children #murder #CrimesAgainstHumanity #WarCrimes']"
1712,12,1712_muststop_human destruction_pleasehelp_makepeace,"['muststop', 'human destruction', 'pleasehelp', 'makepeace', 'send humanitarian', 'saveukrainenow', 'ukraine human', 'happening ukraine', 'ukraine expect', 'difficult']","['#UN why it be so difficult send #humanitarian #PeacekeepersForces to #investigate what is happening in #Ukraine. This human #destruction #muststop in any case. Go #SaveUkraine #civilians #SaveUkraineNow . #PleaseHelp #MakePeace In Ukraine. What UN still expect? How UN look this?', 'How it be so difficult send #humanitarian #PeacekeepersForces to #investigate what is happening in #Ukraine. This human #destruction #muststop in any case. Go #SaveUkraine #civilians #SaveUkraineNow . #PleaseHelp #MakePeace In Ukraine. What #UN still expect? How now look this?', 'UN How it be so difficult send #humanitarian #PeacekeepersForces to #investigate what is happening in #Ukraine. This human #destruction #muststop in any case. Go #SaveUkraine #civilians #SaveUkraineNow . #PleaseHelp #MakePeace In Ukraine. What #UN still expect? How UN look this']"
1713,12,1713_speech president_president ukraine_debate 77th_standwithukraine speech,"['speech president', 'president ukraine', 'debate 77th', 'standwithukraine speech', 'general debate', 'website president', 'speech', '77th', 'official website', '77th session']","['Speech by the President of Ukraine at the General Debate of the 77th session of the UN General Assembly #Ukraine #UkraineCentral #UKRCentral', '""Speech by the President of Ukraine at the General Debate of the 77th session of the UN General Assembly - 22-Sep-2022-02-12"" - Full speech in #English .fm and : Share to #SupportUkraine! #RussiaUkraineWar', 'Speech by the President of Ukraine at the General Debate of the 77th session of the UN General Assembly — Official website of the President of Ukraine #StandWithUkraine']"
